model,bs,ips,platform,xla,prec,,,,,,
mobilenetv2,32,224.3,clevo3080,0,fp32,,,,,,
mobilenetv2,64,223.9,clevo3080,0,fp32,,,,,,
mobilenetv2,128,233.4,clevo3080,0,fp32,,,,,,
mobilenetv2,32,257.1,m1_max,0,fp32,,,,,,
mobilenetv2,64,298.5,m1_max,0,fp32,,,,,,
mobilenetv2,128,318.3,m1_max,0,fp32,,,,,,
mobilenetv2,256,328.7,m1_max,0,fp32,,,,,,
resnet101v2,32,111.2,clevo3080,0,fp32,,,,,,
resnet101v2,64,117.2,clevo3080,0,fp32,,,,,,
resnet101v2,32,82.4,m1_max,0,fp32,,,,,,
resnet101v2,64,88,m1_max,0,fp32,,,,,,
resnet101v2,128,92.9,m1_max,0,fp32,,,,,,
resnet101v2,256,81.5,m1_max,0,fp32,,,,,,
resnet152v2,32,75.6,clevo3080,0,fp32,,,,,,
resnet152v2,64,78.7,clevo3080,0,fp32,,,,,,
resnet152v2,32,57.1,m1_max,0,fp32,,,,,,
resnet152v2,64,60.9,m1_max,0,fp32,,,,,,
resnet152v2,128,63,m1_max,0,fp32,,,,,,
resnet152v2,256,43.4,m1_max,0,fp32,,,,,,
resnet50,32,168.1,clevo3080,0,fp32,,,,,,
resnet50,64,178.3,clevo3080,0,fp32,,,,,,
resnet50,128,182.1,clevo3080,0,fp32,,,,,,
resnet50,32,121.6,m1_max,0,fp32,,,,,,
resnet50,64,128.2,m1_max,0,fp32,,,,,,
resnet50,128,136.4,m1_max,0,fp32,,,,,,
resnet50,256,135.1,m1_max,0,fp32,,,,,,
resnet50v2,32,191.6,clevo3080,0,fp32,,,,,,
resnet50v2,64,205.8,clevo3080,0,fp32,,,,,,
resnet50v2,128,212.9,clevo3080,0,fp32,,,,,,
resnet50v2,32,144.8,m1_max,0,fp32,,,,,,
resnet50v2,64,152.8,m1_max,0,fp32,,,,,,
resnet50v2,128,162.6,m1_max,0,fp32,,,,,,
resnet50v2,256,162.3,m1_max,0,fp32,,,,,,
vgg16,32,134.3,clevo3080,0,fp32,,,,,,
vgg16,64,136.6,clevo3080,0,fp32,,,,,,
vgg16,32,62.7,m1_max,0,fp32,,,,,,
vgg16,64,69.2,m1_max,0,fp32,,,,,,
vgg16,128,68.8,m1_max,0,fp32,,,,,,
vgg16,256,69.1,m1_max,0,fp32,,,,,,
vgg19,32,113.5,clevo3080,0,fp32,,,,,,
vgg19,64,118.8,clevo3080,0,fp32,,,,,,
vgg19,32,52.5,m1_max,0,fp32,,,,,,
vgg19,64,57.2,m1_max,0,fp32,,,,,,
vgg19,128,56.4,m1_max,0,fp32,,,,,,
vgg19,256,56.1,m1_max,0,fp32,,,,,,
mobilenetv2,32,259.4,m1_max,1,fp32,,,,,,
mobilenetv2,64,295.3,m1_max,1,fp32,,,,,,
mobilenetv2,128,325,m1_max,1,fp32,,,,,,
mobilenetv2,256,330.4,m1_max,1,fp32,,,,,,
resnet50,32,121.3,m1_max,1,fp32,,,,,,
resnet50,64,130,m1_max,1,fp32,,,,,,
resnet50,128,138.6,m1_max,1,fp32,,,,,,
resnet50,256,132.8,m1_max,1,fp32,,,,,,
resnet50v2,32,146,m1_max,1,fp32,,,,,,
