model,bs,ips,platform,xla,prec,
distilbert-base-uncased,16,106.4,m1_max,0,fp32,
distilbert-base-uncased,32,120,m1_max,0,fp32,
distilbert-base-uncased,64,124.8,m1_max,0,fp32,
distilbert-base-uncased,128,127.9,m1_max,0,fp32,
distilbert-base-uncased,256,121.7,m1_max,0,fp32,
bert-large-uncased,16,18.9,m1_max,0,fp32,
bert-large-uncased,32,20.4,m1_max,0,fp32,
distilbert-base-uncased,16,170.5,clevo3080,0,fp32,
distilbert-base-uncased,32,183.7,clevo3080,0,fp32,
distilbert-base-uncased,64,195.9,clevo3080,0,fp32,
distilbert-base-uncased,128,198.4,clevo3080,0,fp32,
bert-large-uncased,16,28.8,clevo3080,0,fp32,
distilbert-base-uncased,16,106.8,m1_max,1,fp32,
distilbert-base-uncased,32,119.7,m1_max,1,fp32,
distilbert-base-uncased,64,125,m1_max,1,fp32,
distilbert-base-uncased,128,127.4,m1_max,1,fp32,
bert-large-uncased,16,19.4,m1_max,1,fp32,
bert-large-uncased,32,20.2,m1_max,1,fp32,
bert-large-uncased,64,18.4,m1_max,1,fp32,
distilbert-base-uncased,16,275,clevo3080,1,fp32,
distilbert-base-uncased,32,288.1,clevo3080,1,fp32,
distilbert-base-uncased,64,315.2,clevo3080,1,fp32,
distilbert-base-uncased,128,296.2,clevo3080,1,fp32,
bert-large-uncased,16,43.3,clevo3080,1,fp32,
distilbert-base-uncased,16,416.4,clevo3080,1,fp16,
distilbert-base-uncased,32,468.7,clevo3080,1,fp16,
distilbert-base-uncased,64,519.5,clevo3080,1,fp16,
distilbert-base-uncased,128,569.8,clevo3080,1,fp16,
distilbert-base-uncased,256,575.1,clevo3080,1,fp16,
bert-large-uncased,16,70.9,clevo3080,1,fp16,
bert-large-uncased,32,80.5,clevo3080,1,fp16,
distilbert-base-uncased,16,407.6,razer,1,fp16,
distilbert-base-uncased,32,467.1,razer,1,fp16,
distilbert-base-uncased,64,517.1,razer,1,fp16,
distilbert-base-uncased,128,579.4,razer,1,fp16,
distilbert-base-uncased,256,592.6,razer,1,fp16,
bert-large-uncased,16,71.2,razer,1,fp16,
bert-large-uncased,32,82,razer,1,fp16,
